Manufacturer,Model,Category,Subcategory,URL,Part Number,System,Accounting Item Name,Short Description,Long Description,Discontinued,Tags,Phase,Labor Hours,MSRP,Unit Cost,Unit Price,Taxable,Use Tax,Preferred Vendor,Order UOM,Order UOM Units,Do Not Order,Height,Width,Depth,Weight,Rack Mounted,Rack Units,Amps,Volts,Watts,BTU,Dispersion,Bulk Wire,Start Terminal,End Terminal,Input Terminals,Input Signals,Input Labels,Output Terminals,Output Signals,Output Labels,Custom Field 1 (Income Account),Custom Field 2 (Expense Account),Custom Field 3 (Spec Sheet - Type),Custom Field 4 (Spec Sheet - Cut Out Dimensions),Custom Field 5 (Spec Sheet - Part ID),Custom Field 6,Custom Field 7,Custom Field 8,Custom Field 9,Custom Field 10,Custom Field 11,Custom Field 12 (Spec Sheet Options),Custom Field 13,Custom Field 14,Summarize,Show In Product Details Report,Approved
ESSEX ELECTRONICS,KTP-103-SN,Access Control,Keypad,http://www.keyless.com/3x4stainless.htm,KTP-103-SN,Access Control System,ESSEX ELECTRONICS:KTP-103-SN,26 Bit Wiegand Keypad,The KTP Series 12 Pad 3x4: Virtually Indestructible Keypad Readers designed to interface with Access Control  (and custom control) systems.,FALSE,,Security Finish,0.5,367.99,248.99,424.246,TRUE,,ADI (unincorp of Honeywell Intl Inc),,,FALSE,5.1181,3.3858,0.4331,1,FALSE,0,0.25,12,3,10.24,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,AKP,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,5000-20050,CCTV,Accessories,,5000-20050,Surveillance,EXACQ VISION:5000-20050,Rackmount Sliding Rail Kit,"Rackmount Sliding Rail Kit for exacqVision A series 2U chassis, 20'' mounting rail spacing.",FALSE,,Security Finish,0.25,106.99,65.99,110.3327,TRUE,,Exacq Technologies,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,ACEVIP01-01,CCTV,License,,ACEVIP01-01,Surveillance,EXACQ VISION:ACEVIP01-01,Single IP Camera Scratch Card License for the Professional software.,,FALSE,,Finish,0.08,0,105.99,190.7667,TRUE,,,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,2,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,IP04-02T-R2A,CCTV,Server,https://exacq.com/products/a/,IP04-02T-R2A,Surveillance,EXACQ VISION:IP04-02T-R2A,A Series 2TB IP Surveillance Server with 4 IP Camera Licenses,"The powerful exacqVision VMS is available on factory-installed hybrid and IP servers, and works with a wide range of commercially available off-the-shelf servers. Its intuitive and powerful feature set make it an ideal choice for many security-conscious applications including those in education, corporate, retail and healthcare.",FALSE,,Security Finish,2,3874,2464.99,3873.3344,TRUE,,,,,FALSE,3.5,16.75,21.25,31,FALSE,0,1.32,120,158.4,540,,FALSE,,,RJ45;;IEC,DATA;;120VAC,LAN;;POWER,HDMI;DVI;DVI,LINE OUT;LINE OUT;D VID,HDMI OUT;DVI - I;DISPLAY,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,IP04-04T-R2A,CCTV,Server,https://exacq.com/products/a/,IP04-04T-R2A,Surveillance,,A Series 4TB IP Surveillance Server with 4 IP Camera Licenses,"The powerful exacqVision VMS is available on factory-installed hybrid and IP servers, and works with a wide range of commercially available off-the-shelf servers. Its intuitive and powerful feature set make it an ideal choice for many security-conscious applications including those in education, corporate, retail and healthcare.",FALSE,,Security Finish,2,4202,2666.99,4201.9694,TRUE,,,,,FALSE,3.5,16.75,21.25,31,FALSE,0,1.32,120,158.4,540,,FALSE,,,RJ45;;IEC,DATA;;120VAC,LAN;;POWER,HDMI;DVI;DVI,LINE OUT;LINE OUT;D VID,HDMI OUT;DVI - I;DISPLAY,Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,IP04-06T-R2A,CCTV,Server,https://exacq.com/products/a/,IP04-06T-R2A,Surveillance,EXACQ VISION:IP04-06T-R2A,A Series 6TB IP Surveillance Server with 4 IP Camera Licenses,"The powerful exacqVision VMS is available on factory-installed hybrid and IP servers, and works with a wide range of commercially available off-the-shelf servers. Its intuitive and powerful feature set make it an ideal choice for many security-conscious applications including those in education, corporate, retail and healthcare.",FALSE,,Security Finish,2,5150,2867.99,4773.6185,TRUE,,,,,FALSE,2.57,17,18.9,25,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,1,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,IP04-12T-R2A,CCTV,Server,https://exacq.com/products/a/,IP04-12T-R2A,Surveillance,EXACQ VISION:IP04-12T-R2A,A Series 12TB IP Surveillance Server with 4 IP Camera Licenses,"The powerful exacqVision VMS is available on factory-installed hybrid and IP servers, and works with a wide range of commercially available off-the-shelf servers. Its intuitive and powerful feature set make it an ideal choice for many security-conscious applications including those in education, corporate, retail and healthcare.",FALSE,,Security Finish,2,5599.99,3465.99,5599.99,TRUE,,Exacq Technologies,,,FALSE,3.5,16.75,21.25,31,TRUE,2,1.375,120,165,562.98,,FALSE,,,1/8 TRS;1/8 TRS;;RJ45;RJ45;;IEC C13,LINE LEVEL;MIC;;DATA;DATA;;120VAC,LINE IN (BLUE);MIC (PINK);;LAN;LAN;;POWER,HDMI;DVI-I;DISPLAYPORT;;DB15 FEMALE;;1/8 TRS,DVID;DVID;DVID;;AVID;;LIN ELEVEL,HDMI;DVI-I;DISPLAYPORT;;VGA;;LINE OUT (GREEN),Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Product COGS:Finish Product COGS:Security Finish Product,1,,NVR,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXACQ VISION,IPS04-1000-LC,CCTV,Server,https://www.exacq.com/products/lc/,IPS04-1000-LC,Surveillance,EXACQ VISION:IPS04-1000-LC,LC Series 1TB 4 Channel Surveillance NVR,"The powerful exacqVision VMS is available on factory-installed hybrid and IP servers, and works with a wide range of commercially available off-the-shelf servers. Its intuitive and powerful feature set make it an ideal choice for many security-conscious applications including those in education, corporate, retail and healthcare.",FALSE,,Security Finish,2,0,950,1675,TRUE,,,,,FALSE,0,0,0,0,FALSE,0,0.5,120,60,205,,FALSE,,,RJ45;;;;ACPLUG,DATA;;;;240VAC,LAN;;;;POWER,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue:Security Finish Product Revenue,Tech Solutions Product COGS:Finish Product COGS:Security Finish Product,1,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXTREME NETWORKS,ESN-AVB12E-00,Networking,Switches,https://community.savant.com/DefaultStore/ccrz__ProductDetails?viewState=DetailView&cartID=&sku=ESN-AVB24E-00&isCSRFlow=true&portalUser=&store=&cclcl=en_US,ESN-AVB12E-00,AV Control and Distribution,EXTREME NETWORKS:ESN-AVB12E-00,12 Port AVB Switch,"The X440-G2 line of switches by Extreme Networks provides an enterprise class solution for larger IP Audio systems.  This 12 port AVB switch has been pre licensed and configured for use with savant AVB deployments so setup is plug-n-play.  When purchasing this you are receiving the X440-G2-12T-10GE4, US Power Cord, and AVB feature pack license.",FALSE,,Finish,1,1800,1260,1800,TRUE,,"Savant Systems, LLC",,,FALSE,1.73,12.01,10.28,5.82,TRUE,1,0.27,120,32,110.55,,FALSE,,,RJ45;RJ45;;C14 AC,DATA;DATA;;120VAC,ACT LAN;CONSOLE;;POWER,RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;;SFP;SFP;SFP;SFP,DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;;DATA;DATA;DATA;DATA,1;2;3;4;5;6;7;8;9;10;11;12;;25;26;27;28,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVB,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXTREME NETWORKS,ESN-AVB12POE-00,Networking,Switches,https://cloud.kapostcontent.net/pub/b9e7ae6c-3734-463e-bb6e-b1d067c59623/extremeswitching-x440-g2-ds-1.pdf?kui=eYSlAdqF-CK3zu1PkkKjZQ,ESN-AVB12POE-00,AV Control and Distribution,EXTREME NETWORKS:ESN-AVB12POE-00,12 Port AVB Switch with PoE,"The X440-G2 line of switches by Extreme Networks provides an enterprise class solution for larger IP Audio systems requiring POE.  This 12 port AVB switch has been pre licensed and configured for use with savant AVB deployments so setup is plug-n-play.  When purchasing this you are receiving the X440-G2-12P-10GE4, US Power Cord, and AVB feature pack license.",FALSE,,Finish,1,2400,1680,2400,TRUE,,"Savant Systems, LLC",,,FALSE,1.73,12.01,10.28,6.66,TRUE,1,2.2,120,264,216,,FALSE,,,RJ45;RJ45;;C14 AC,DATA;DATA;;120VAC,ACT LAN;CONSOLE;;POWER,RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;;SFP;SFP;SFP;SFP,DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;;DATA;DATA;DATA;DATA,1;2;3;4;5;6;7;8;9;10;11;12;;13;14;15;16,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVB,0,0,0,,,,,,,FALSE,TRUE,TRUE
EXTREME NETWORKS,ESN-AVB24E-00,Networking,Switches,https://community.savant.com/DefaultStore/ccrz__ProductDetails?viewState=DetailView&cartID=&sku=ESN-AVB24E-00&isCSRFlow=true&portalUser=&store=&cclcl=en_US,ESN-AVB24E-00,AV Control and Distribution,EXTREME NETWORKS:ESN-AVB24E-00,24 Port AVB Switch,"The X440-G2 line of switches by Extreme Networks provides an enterprise class solution for larger IP Audio systems. This 24 port AVB switch has been pre licensed and configured for use with savant AVB deployments so setup is plug-n-play. When purchasing this you are receiving the X440-G2-24T-10GE4, US Power Cord, and AVB feature pack license.",FALSE,,Finish,1,2400,1680,2400,TRUE,,"Savant Systems, LLC",,,FALSE,1.73,17.36,10.01,8.07,TRUE,1,0.33,120,40,135.12,,FALSE,,,RJ45;RJ45;;C14 AC,DATA;DATA;;120VAC,ACT LAN;CONSOLE;;POWER,RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;RJ45;;SFP;SFP;SFP;SFP,DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;DATA;;DATA;DATA;DATA;DATA,1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;25;26;27;28,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,1,,AVB,0,0,0,,,,,,,FALSE,TRUE,TRUE
FLEXSON,FLXPBTV1021,Mounts,Speaker,https://www.amazon.com/FLEXSON-FLXPBTV1021-Screen-Mount-Playbar/dp/B00JD96PWG/ref=sr_1_3?ie=UTF8&qid=1518556904&sr=8-3&keywords=flexson+playbar,FLXPBTV1021,"TV, Sources & Mounts",FLEXSON:FLXPBTV1021,"TV Mount for Sonos PLAYBAR, Black","The black FLEXSON TV Mount for Sonos PLAYBAR is designed to fit onto a full-motion (articulated) TV wall mount. The FLEXSON screen mount securely holds your PLAYBAR in place while allowing it to move with the screen. So, wherever you angle your TV, the Sonos PLAYBAR stays directly underneath it, for optimal sound with music, movies, and more.",FALSE,,Finish,0.5,149.99,135.87,149.99,TRUE,,Amazon,,,FALSE,0,0,0,20.9,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FLEXSON,PLAY:1 WALL BRACKET (BLACK),Speakers,Mount,,AAV-FLXP1WB1021,Speaker Package,FLEXON:AAV-FLXP1WB1021,"Wall Bracket for Sonos PLAY:1, Black, Each","Tilt it, swivel it, even hang it upside down! Flexson's bespoke bracket for the SONOS PLAY:1 allows you to wall mount your speaker in the ideal place to sound - and look - great. This new, improved design gives you yet more flexibility and functionality. The new Flexson mount has a unique tilting mechanism, as well as the ability to swivel left or right, so you can perfectly angle your sound. The bracket also allows you to hang the PLAY:1 upside down ? so you can access its on-speaker controls even when it's mounted high up. You can even mount your speaker on the ceiling! The Flexson wall mount for SONOS PLAY:1 is precision engineered to perfectly match the size, style and color of the SONOS speaker. It also allows for neat cable routing, easy fitting and flexible placement. Free up your surfaces and mount your music today!",FALSE,,Finish,0.25,56.99,44.99,56.99,TRUE,,Amazon,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FLEXSON,PLAY:1 WALL BRACKET (WHITE),Speakers,Mount,,AAV-FLXP1WB1011,Speaker Package,FLEXSON:AAV-FLXP1WB1011,"Wall Bracket for Sonos PLAY:1, White, Each","Tilt it, swivel it, even hang it upside down! Flexson's bespoke bracket for the SONOS PLAY:1 allows you to wall mount your speaker in the ideal place to sound - and look - great. This new, improved design gives you yet more flexibility and functionality. The new Flexson mount has a unique tilting mechanism, as well as the ability to swivel left or right, so you can perfectly angle your sound. The bracket also allows you to hang the PLAY:1 upside down ? so you can access its on-speaker controls even when it's mounted high up. You can even mount your speaker on the ceiling! The Flexson wall mount for SONOS PLAY:1 is precision engineered to perfectly match the size, style and color of the SONOS speaker. It also allows for neat cable routing, easy fitting and flexible placement. Free up your surfaces and mount your music today!",FALSE,,Finish,0.25,56.99,44.99,56.99,TRUE,,Amazon,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FLEXSON,PLAY:5 WALL BRACKET (BLACK),Speakers,Mount,,AAV-FLXP5WM1023,Speaker Package,FLEXSON:AAV-FLXP5WM1023,"Wall Mount for Sonos PLAY:5, Black, Each","Tilt it, swivel it, even hang it upside down! Flexson's bespoke bracket for the SONOS PLAY:5 allows you to wall mount your speaker in the ideal place to sound - and look - great. This new, improved design gives you yet more flexibility and functionality.",FALSE,,Finish,0.25,124.99,99.99,124.99,TRUE,,Amazon,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FSR,FSR-CB-22,Enclosures,Ceiling Box,https://www.snapav.com/wcsstore/ExtendedSitesCatalogAssetStore/attachments/documents/StructuredWiring/ManualsAndGuides/FSR-CB-22_CS.pdf,FSR-CB-22,"TV, Sources & Mounts",FSR:FSR-CB-22,"Ceiling Enclosure Box with 6 Power Outlets, 2' x 2'","Want to hide your conference room equipment completely out of sight? Use this handy 2x2 ceiling rack enclosure box. It gets rid of the need for a rack or credenza, and has space for plenty of AV gear - like a matrix switch, media extender, Apple TV, network hardware, and more. It drops easily into any 2x2 ceiling grid, and has a cover that allows it to blend in seamlessly, making it a nearly invisible addition to the room.",FALSE,,Finish,0.5,615,434.51,615,TRUE,,SnapAV,,,FALSE,6.56,23.69,23.69,29,FALSE,0,0,0,0,0,,FALSE,,,,,,RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE,120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,POWER;POWER;POWER;POWER;POWER;POWER,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FSR,FSR-IT-CHRG-P2U,Power and Protection,USB,https://fsrinc.com/fsr-products-listing/product/it-chrg-p2u-series,FSR-IT-CHRG-P2U,AV Control and Distribution,FSR:FSR-IT-CHRG-P2U,PoE to USB Charging Port Cube,"Now you can remotely power a tablet, touch panel or Smartphone on your conference room table without the need for an AC line. This USB Charging Port makes it easy to extend 5V USB power to a remote location – providing a neat and tidy table setup. Plus, since it is powered by PoE, its cube form factor fits neatly into a double-gang box, and it’s the perfect companion for our Araknis PoE Injector.",FALSE,,Finish,0.25,179,136.2,179,TRUE,,SnapAV,,,FALSE,2.1,1.5,1.73,0,FALSE,0,0,0,0,0,,FALSE,,,RJ45,POE,POE,USB,5VDC,5V - 10W,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FSR,FSR-IT-WPCHRG-P2U,Power and Protection,USB,https://fsrinc.com/fsr-products-listing/product/it-chrg-p2u-series,FSR-IT-WPCHRG-P2U,AV Control and Distribution,FSR:FSR-IT-WPCHRG-P2U,"PoE to USB Charging Port Wallplate, White","Now you can power a tablet, touch panel or Smartphone on your conference room table without the need for an AC line. This USB Charging Port makes it easy to extend 5V USB power to a remote location – providing a neat and tidy table setup. Plus, since it is powered by PoE, its form factor allows it to blend easily into the room, and it’s the perfect companion for our Araknis PoE Injector.",FALSE,,Finish,0.25,199,139.3,199,TRUE,,SnapAV,,,FALSE,0,0,0,0,FALSE,0,0,0,0,0,,FALSE,,,RJ45,POE,POE,USB,5VDC,5V - 10W,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FURMAN,ELITE-20 PF I,Power Protection,Power Conditioners,http://resources.corebrands.com/products/ELITE-20-PF-I/pdf_ELITE-20-PF-I_datasheet.pdf,ELITE-20 PF I,AV Control and Distribution,FURMAN:ELITE-20 PF I,"Elite Series Power Conditioner, 12 Outlet, 20A","When employing the Elite-20 PF i, you will immediately notice far clearer, stunningly focused sound and visual images from your system. Video presentation will be crisp and colors true with greater gray and black scale definition, as well as noticeably improved depth and clarity. Sonic transients will be startlingly fast with bass fundamentals that shake foundations with their weight and visceral impact. Mid and high frequencies will bloom with sweet, non-glaring ease as imaging improves dramatically, all the while remaining true to your system's inherent virtues.",FALSE,,Finish,0.5,1379.95,719.25,1379.95,TRUE,,"Core Brands, LLC",,,FALSE,3.5,17.3,14.75,18,FALSE,2,0.042,120,5,17.2,,FALSE,,,1/8 TS;;C19,CTRL;;120VAC,12V TRIGGER;;POWER,RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;;RECEPTACLE;RECEPTACLE;RECEPTACLE;RECEPTACLE;;1/8 TS,120VAC;120VAC;120VAC;120VAC;;120VAC;120VAC;120VAC;120VAC;;120VAC;120VAC;120VAC;120VAC;;CTRL,AMPLIFIER (UNSWITCHED);AMPLIFIER (UNSWITCHED);AMPLIFIER (DELAY-ON);AMPLIFIER (DELAY-ON);;AUDIO - VIDEO (UNSWITCHED);AUDIO - VIDEO (UNSWITCHED);AUDIO - VIDEO (SWITCHED);AUDIO - VIDEO (SWITCHED);;VIDEO (UNSWITCHED);VIDEO (UNSWITCHED);VIDEO (SWITCHED);VIDEO (SWITCHED);;12V TRIGGER,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FURMAN,IT-REF 15I,Power Protection,Power Conditioners,http://resources.corebrands.com/products/IT-REF-15I/pdf_IT-REF-15I_datasheet.pdf,IT-REF 15I,AV Control and Distribution,FURMAN:IT-REFERENCE 15I,"Reference Series Power Conditioner, 8 Outlet, 15A","When employing the IT-REFERENCE 15i you will immediately notice far clearer, stunningly focused sound and visual images from your system. Video presentation will be crisp and colors true with greater gray and black scale definition, as well as noticeably improved depth and clarity. Sonic transients will be startlingly fast with bass fundamentals that shake foundations with their weight and visceral impact. Mid and high frequencies will bloom with sweet, non-glaring ease while imaging improves dramatically, all the while remaining true to your system's inherent virtues.",FALSE,,Finish,0.5,2759.95,1430,2759.95,TRUE,,"Core Brands, LLC",,,FALSE,3.5,17.3,15.625,50,FALSE,2,0,120,5,0,,FALSE,,,RJ11;;F;F;F;;ACPLUG,DATA;;RF;RF;RF;;120VAC,TELCO IN;;CABLE/SATELLITE 1;CABLE/SATELLITE 2;CABLE/SATELLITE 3;;POWER,RJ11;;F;F;F;;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG,DATA;;RF;RF;RF;;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC;120VAC,TELCO OUT;;CABLE/SATELLITE 1;CABLE/SATELLITE 2;CABLE/SATELLITE 3;;POWER 1;POWER 2;POWER 3;POWER 4;POWER 5;POWER 6;POWER 7;POWER 8;POWER 9;POWER 10;POWER 11,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FURMAN,IT-REF 20I,Power Protection,Power Conditioners,http://resources.corebrands.com/products/IT-REF-20I/pdf_IT-REF-20I_datasheet.pdf,IT-REF 20I,AV Control and Distribution,FURMAN:IT-REFERENCE 20I,"Reference Series Power Conditioner, 8 Outlet, 20A","When employing the IT-REFERENCE 15i you will immediately notice far clearer, stunningly focused sound and visual images from your system. Video presentation will be crisp and colors true with greater gray and black scale definition, as well as noticeably improved depth and clarity. Sonic transients will be startlingly fast with bass fundamentals that shake foundations with their weight and visceral impact. Mid and high frequencies will bloom with sweet, non-glaring ease while imaging improves dramatically, all the while remaining true to your system's inherent virtues.",FALSE,,Finish,0.5,4409.95,2365,4409.95,TRUE,,"Core Brands, LLC",,,FALSE,5.25,17.3,15.625,83,FALSE,3,0,120,5,0,,FALSE,,,ACPLUG;F;F;F;RJ45;RJ45,120 VAC;RF;RF;RF;DATA;DATA,POWER;CABLE/SAT 1;CABLE/SAT 2;CABLE/SAT 3;TELCO 1;TELCO 2,F;F;F;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG;ACPLUG,RF;RF;RF;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC;120 VAC,CABLE/SAT 1;CABLE/SAT 2;CABLE/SAT 3;AMPLIFIER OUTLET 1;AMPLIFIER OUTLET 2;AMPLIFIER OUTLET 3;AMPLIFIER OUTLET 4;OUTLET 1;OUTLET 2;OUTLET 3;OUTLET 4;OUTLET 5;OUTLET 6;OUTLET 7;OUTLET 8,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FUTURE AUTOMATION,AM1,Lifts,Accessory,https://savinc.sharepoint.com/:b:/g/Ef2VxTqLVn5EpQDrisax1goBWMgEUKkr6n3GO7GKxlT0ZQ?e=SoNSNY,AM1,"TV, Sources & Mounts",FUTURE AUTOMATION:AM1,Accessory Mount,"The accessory mount has been designed to allow screen accessories such as set top boxes, switches or mini amps to be mounted behind any screen using the VESA mounting pattern. The accessories are hidden behind the screen, allowing for a much tidier look, as well as reducing the length that cables have to be run, easing installation.",FALSE,,Finish,0.5,200,100,200,TRUE,,"Future Automation, Inc.",,,FALSE,15.94,7.56,0.39,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FUTURE AUTOMATION,AM2,Mounts,Accessory,https://savinc.sharepoint.com/:b:/g/ETd3-wEv_d5GvJzxEHp5pJEBAvTeQTYGwEQQkVXTotMIUg?e=Q2YnmI,AM2,"TV, Sources & Mounts",FUTURE AUTOMATION:AM2,Accessory Mount,"The accessory mount has been designed to allow screen accessories such as set top boxes, switches or mini amps to be mounted behind any screen using the VESA mounting pattern.",FALSE,,Finish,0.5,250,125,250,TRUE,,"Future Automation, Inc.",,,FALSE,20.3,7.6,0.4,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,2,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FUTURE AUTOMATION,DA-1000,Mounts,Wall-Full Swing,https://savinc.sharepoint.com/:b:/g/EYRjh1SecVNMgC6YYt9CFNYBiWfbQIBvLPeVY-bW4-hwnA?e=txV4RA,DA-1000,,FUTURE AUTOMATION:DA-1000,Double Arm TV Mount Bracket for 32'' to 65'' TVs,Double Arm TV Mount Bracket for 32'' to 65'' TVs,FALSE,,Finish,2,1400,700,1400,TRUE,,"Future Automation, Inc.",,,FALSE,0,0,4.1,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,2,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
FUTURE AUTOMATION,DA-800,Mounts,Wall-Full Swing,http://www.futureautomation.net/Product/Details/DA,DA-800,,FUTURE AUTOMATION:DA-800,Double Arm TV Mount Bracket for 32'' to 65'' TVs,Double Arm TV Mount Bracket for 32'' to 65'' TVs,FALSE,,Finish,2,1400,700,1400,TRUE,,"Future Automation, Inc.",,,FALSE,0,0,4.1,0,FALSE,0,0,0,0,0,,FALSE,,,,,,,,,Tech Solutions Product Revenue:Finish Phase Product Revenue,Tech Solutions Product COGS:Finish Product COGS,2,,,,,,,,,,,,FALSE,TRUE,TRUE
FUTURE AUTOMATION,EAD,Mounts,Uncategorized,https://savinc.sharepoint.com/:b:/g/Eb6XnAgiqutNuf6T6w6z-MoBAJR3U_Y9fbLpuDiCQdtl1w?e=5vZ58d,EAD,"TV, Sources & Mounts",FUTURE AUTOMATION:EAD,Electric advance and drop wall mount for 40'' to 80'' TV,The Electric Advance and Drop TV Wall Mount is a one of a kind bracket designed to move a flat screen vertically to a more desirable viewing height. The down and out movement make this ideal for mounting a TV over a fireplace as the EAD moves forward to clear a mantle piece and then drops down for a more favourable viewing position. A truly unique and creative solution.,FALSE,,,0.25,2400,1500,3000,TRUE,,"Future Automation, Inc.",,,FALSE,23,26.7,4.5,0,FALSE,0,1,120,120,409.44,,FALSE,,,1/8 TRS;RJ11;RJ45;;AC PLUG,CTRL;CTRL;CTRL;;120VAC,IR;RS232;CC1 +12V;;POWER,,,,Product Revenue:Finish Phase Product Revenue,Product COGS:Finish Product COGS,,,,0,0,0,,,,,,,FALSE,TRUE,TRUE
